alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,3,0,7,2.0,20.0,street_time_ants40,467.4752646419754,0.2668848570001501,1.0,548.7863145424035,1.0,18.0,600.0,1.5,1.0,40,80,548.7863145424035,70.0,1.0,1.0,0.0,1.0,0.0,81.31104990042803,81.31104990042803,100.0,0.5,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,4,0,6,2.0,20.0,street_time_iters50,469.45630637106603,0.1268809670000337,1.0,550.6022694607366,1.0,18.0,600.0,1.5,1.0,30,50,550.6022694607366,60.0,1.0,1.0,0.0,1.0,0.0,81.14596308967054,81.14596308967054,100.0,0.5,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,3,0,7,2.0,20.0,street_time_iters120,501.4565120929719,0.29530863299987686,1.0,585.364023831095,1.0,18.0,600.0,1.5,1.0,30,120,585.364023831095,70.0,1.0,1.0,0.0,1.0,0.0,83.9075117381231,83.9075117381231,100.0,0.5,1,E1_small,ok,10,5.0,227.08594890240602,10,street_time
0.8,3,0,7,2.0,20.0,street_time_alpha0.8,463.94521903568284,0.20025643900044088,1.0,545.7238714138541,1.0,18.0,600.0,1.5,1.0,30,80,545.7238714138541,70.0,1.0,1.0,0.0,1.0,0.0,81.77865237817133,81.77865237817133,100.0,0.5,1,E1_small,ok,10,5.0,222.3620626747055,10,street_time
1.2,3,0,7,2.0,20.0,street_time_alpha1.2,457.44645971093735,0.20247199400000682,1.0,539.5932433556186,1.0,18.0,600.0,1.5,1.0,30,80,539.5932433556186,70.0,1.0,1.0,0.0,1.0,0.0,82.1467836446812,82.1467836446812,100.0,0.5,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,4,0,6,1.5,20.0,street_time_beta1.5,469.45630637106603,0.20136910599921976,1.0,550.6022694607366,1.0,18.0,600.0,1.5,1.0,30,80,550.6022694607366,60.0,1.0,1.0,0.0,1.0,0.0,81.14596308967054,81.14596308967054,100.0,0.5,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,2,0,8,2.5,20.0,street_time_beta2.5,471.5571598826215,0.20928067400018335,1.0,567.8125327142178,1.0,18.0,600.0,1.5,1.0,30,80,567.8125327142178,80.0,1.0,1.0,0.0,1.0,0.0,96.25537283159633,96.25537283159633,100.0,0.5,1,E1_small,ok,10,5.0,237.4731115320418,10,street_time
1.0,4,0,6,2.0,20.0,street_time_gamma0.7,496.08987427628136,0.20123224899998604,0.7,593.3040661621426,1.0,18.0,600.0,1.5,1.0,30,80,593.3040661621426,60.0,1.0,1.0,0.0,1.0,0.0,97.21419188586128,97.21419188586128,100.0,0.5,1,E1_small,ok,10,5.0,239.9454092320866,10,street_time
1.0,3,0,7,2.0,20.0,street_time_gamma1.3,457.44645971093735,0.20894986300027085,1.3,539.5932433556186,1.0,18.0,600.0,1.5,1.0,30,80,539.5932433556186,70.0,1.0,1.0,0.0,1.0,0.0,82.1467836446812,82.1467836446812,100.0,0.5,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,1,0,9,2.0,20.0,street_time_rho0.3,453.60919437116013,0.22057419399970968,1.0,620.7907367066622,1.0,18.0,600.0,1.5,1.0,30,80,620.7907367066622,90.0,1.0,1.0,0.0,1.0,0.0,167.18154233550206,167.18154233550206,100.0,0.3,1,E1_small,ok,10,5.0,306.37270302296747,10,street_time
