scenario,weight,config,runs,objective_cost_median,objective_cost_iqr,distance_total_median,distance_total_iqr,penalty_total_median,penalty_total_iqr,exec_s_median,exec_s_iqr,pct_on_time_median,pct_on_time_iqr,penalty_window_median,penalty_capacity_median,penalty_time_median,rank_in_scenario_weight
E1_small,length,length_alpha0.8,30,5337.745643348877,220.02389523782858,5194.120189701228,246.8116711474022,100.62545364764844,43.49999999999997,0.2360295795001548,0.007843852000860352,80.0,7.5,100.62545364764844,0.0,0.0,1
E1_small,length,length_ants40,30,5377.675792193749,252.11353873489043,5194.120189701228,249.9220837586672,104.75140427364713,50.00000000000006,0.308811824500026,0.009182602000237183,80.0,0.0,104.75140427364713,0.0,0.0,2
E1_small,length,length_beta2.5,30,5445.164197987467,238.87021617117807,5312.860406358031,249.9220837586672,114.33837012680874,37.34266825048475,0.23455770950022264,0.0099209222494209,80.0,10.0,114.33837012680874,0.0,0.0,3
E1_small,length,length_gamma1.3,30,5499.578439567479,267.3072408581784,5431.600623014833,249.9220837586672,110.83638197170052,35.18479536689276,0.23669054399988448,0.010732686249866674,80.0,10.0,110.83638197170052,0.0,0.0,4
E1_small,length,length_gamma0.7,30,5528.405158977542,267.13385293391366,5434.347645899174,249.9220837586672,100.75627442132401,43.562975312999384,0.23501804750003424,0.006487662749577766,80.0,17.5,100.75627442132401,0.0,0.0,5
E1_small,length,length_rho0.3,30,5531.293677733543,238.54812834805307,5431.600623014833,249.9220837586672,115.25627442132401,40.3032356227439,0.23424882499966765,0.007601903000249849,80.0,10.0,115.25627442132401,0.0,0.0,6
E1_small,length,length_iters50,30,5533.375984200073,296.35881901344237,5431.600623014833,249.9220837586672,108.57321554048809,56.0,0.1498852119998446,0.005631990500660294,80.0,10.0,108.57321554048809,0.0,0.0,7
E1_small,length,length_base,30,5545.072852511012,382.1748903034422,5444.042273459895,476.3421358906835,103.88222504732272,68.29542037859309,0.2342276405001939,0.007658231000050364,80.0,20.0,103.88222504732272,0.0,0.0,8
E1_small,length,length_iters120,30,5545.203673284686,376.54579880526944,5435.740063756235,417.3710728924689,108.51304582099829,50.87500000000006,0.3511970224999459,0.010638804499876642,80.0,0.0,108.51304582099829,0.0,0.0,9
E1_small,length,length_rho0.7,30,5562.424498507218,289.31728922532693,5444.042273459895,247.40592200580613,102.76560674866707,42.25000000000003,0.23372740749982765,0.008578510000006645,80.0,7.5,102.76560674866707,0.0,0.0,10
E1_small,length,length_beta1.5,30,5566.446901885012,290.4627012004985,5444.042273459895,252.89027047305353,102.76560674866707,53.184795366892786,0.2347344760000851,0.010163817499460465,80.0,10.0,102.76560674866707,0.0,0.0,11
E1_small,length,length_ants20,30,5592.404853093405,500.43180759077404,5444.042273459895,484.88635531941145,102.99053150916586,51.99602180140056,0.1588511205004579,0.004504246250235183,80.0,10.0,102.99053150916586,0.0,0.0,12
E1_small,length,length_alpha1.2,30,5730.515418603299,359.7266078192479,5670.462325591911,429.0300566658607,120.42262766021832,38.76164154735113,0.2351840839996839,0.00951155924985872,80.0,10.0,120.42262766021832,0.0,0.0,13
E1_small,street_time,street_time_iters120,30,584.2893821901902,47.91989664746745,474.7275648440151,35.874534714043705,106.57328634205265,30.012719230340963,0.3160036854997088,0.018417911500137052,80.0,10.0,106.57328634205265,0.0,0.0,1
E1_small,street_time,street_time_beta2.5,30,585.2154811954864,29.117151010306998,471.70744831911327,18.691025876240246,104.04870513425422,26.218590638412408,0.21355024500007855,0.008344423249354804,80.0,20.0,104.04870513425422,0.0,0.0,2
E1_small,street_time,street_time_alpha0.8,30,590.1298410769386,47.59606663625004,471.70744831911327,51.70497805319343,104.71051037024216,33.135661753680424,0.21378986450008597,0.0078057649993752976,80.0,7.5,104.71051037024216,0.0,0.0,3
E1_small,street_time,street_time_ants40,30,593.1425826779447,40.90086533072872,474.8403375112929,46.18486630921592,107.41162658295363,31.2195570581666,0.2814476144994842,0.011685796749816235,80.0,10.0,107.41162658295363,0.0,0.0,4
E1_small,street_time,street_time_gamma1.3,30,601.023104418246,41.79816060880228,495.46056051428263,48.770589863208556,96.3308386042143,25.14972899887006,0.2119075550003799,0.012023323500670813,80.0,20.0,96.3308386042143,0.0,0.0,5
E1_small,street_time,street_time_base,30,602.8181706548171,50.28313427594742,494.3455465855137,60.95191955671669,106.4025841279657,37.15403817492458,0.21341290250029485,0.009170907749876278,80.0,20.0,106.4025841279657,0.0,0.0,6
E1_small,street_time,street_time_rho0.3,30,604.3030307996675,48.77382715992451,478.93297223732105,64.33627638815278,105.70163448737236,23.077763551402242,0.21202861200026746,0.009566205000737626,80.0,10.0,105.70163448737236,0.0,0.0,7
E1_small,street_time,street_time_alpha1.2,30,607.3140589764146,47.853584571219926,507.2737994681412,48.04269839746894,110.75408583568212,41.03288366074261,0.21269350850025143,0.006078121249629503,80.0,20.0,110.75408583568212,0.0,0.0,8
E1_small,street_time,street_time_iters50,30,607.3669386741544,53.34782791903501,509.7472840247731,48.72677686250097,106.29189153250817,38.494486761267865,0.13528412650020977,0.005359270000326405,80.0,20.0,106.29189153250817,0.0,0.0,9
E1_small,street_time,street_time_rho0.7,30,607.8382499543932,56.255889127342016,499.51892323941735,52.65936783751647,103.50293111958476,34.18466404773977,0.21174345699955666,0.01125722699998738,80.0,10.0,103.50293111958476,0.0,0.0,10
E1_small,street_time,street_time_gamma0.7,30,614.3551216004773,56.33723715596068,511.30852368746525,52.70670616926617,104.9460962471897,44.68787872496323,0.21191645649969354,0.010054622249526829,80.0,17.5,104.9460962471897,0.0,0.0,11
E1_small,street_time,street_time_ants20,30,615.1688854522897,49.70630701637049,488.9822869025852,47.997752143473804,107.19045474878811,33.37136106578335,0.14515896900002184,0.005045053000003463,80.0,20.0,107.19045474878811,0.0,0.0,12
E1_small,street_time,street_time_beta1.5,30,620.0907272319025,29.567563154823688,518.7986031684587,33.73270775527692,101.50184334687359,39.190932387177966,0.211868276000132,0.010351799750424134,80.0,17.5,101.50184334687359,0.0,0.0,13
E2_medium,length,length_alpha0.8,30,8267.065300481912,273.02313956716625,8138.1808841631355,246.55319753067306,114.78328801702705,76.58662348449558,0.4379034879993924,0.015564066750130223,85.71428571428571,7.142857142857139,114.78328801702705,0.0,0.0,1
E2_medium,length,length_beta2.5,30,8346.138595062293,623.4387286739711,8258.621256530278,648.156600985998,99.57364232993547,66.13759076020634,0.4367584414999328,0.009346406999384271,85.71428571428571,7.142857142857139,99.57364232993547,0.0,0.0,2
E2_medium,length,length_base,30,8426.080868700594,409.71972658820414,8313.263828722478,546.8416474843234,100.39281426838332,70.89325207944329,0.4350205220002863,0.018003030000272646,85.71428571428571,7.142857142857139,100.39281426838332,0.0,0.0,3
E2_medium,length,length_ants40,30,8430.683325959302,388.7163958243291,8305.560162783817,430.83318841314576,105.6218298121589,77.68635876147277,0.5738199864999842,0.015216707749914349,85.71428571428571,7.142857142857139,105.6218298121589,0.0,0.0,4
E2_medium,length,length_gamma0.7,30,8453.343499925759,547.9270924088469,8311.62412860816,623.1358511270591,109.62353001635523,87.25788203623506,0.4339063375000478,0.011807873000179825,78.57142857142857,7.142857142857139,109.62353001635523,0.0,0.0,5
E2_medium,length,length_iters120,30,8460.405252985704,398.09473802502725,8310.098283686388,386.4751715803941,113.25475276167091,78.46088573157608,0.6413674595000884,0.024961809249816724,85.71428571428571,7.142857142857139,113.25475276167091,0.0,0.0,6
E2_medium,length,length_beta1.5,30,8524.298701193784,610.1426506073803,8398.710552816221,674.8088042806166,112.01638517959594,67.89630142764514,0.43374869250010306,0.01104758524911631,85.71428571428571,7.142857142857139,112.01638517959594,0.0,0.0,7
E2_medium,length,length_gamma1.3,30,8565.272823930885,367.8683244414642,8461.268247892871,292.1661197724934,95.77712295478548,53.00696455407464,0.4360375690002911,0.0123221472506429,82.14285714285714,7.142857142857139,95.77712295478548,0.0,0.0,8
E2_medium,length,length_ants20,30,8580.49831374643,508.9041838824087,8470.702416834407,633.8345647058322,110.85228918246858,97.38398696842462,0.2984892019999279,0.0076936392499646344,85.71428571428571,7.142857142857139,110.85228918246858,0.0,0.0,9
E2_medium,length,length_rho0.3,30,8595.89964944828,518.3252489891929,8388.196947604169,563.7744387199709,148.42001489192214,108.25331590566675,0.4367037790002541,0.013839700749940731,85.71428571428571,7.142857142857139,148.42001489192214,0.0,0.0,10
E2_medium,length,length_rho0.7,30,8654.11445800134,529.3835219571356,8514.305848243035,567.4998556511109,97.43008330631145,44.78561917840629,0.4371976650004399,0.014540252749384364,85.71428571428571,7.142857142857139,97.43008330631145,0.0,0.0,11
E2_medium,length,length_iters50,30,8713.890304657903,725.3625115334344,8622.762203771626,734.7188788203039,109.30232491731215,72.72184438762861,0.2794059909997486,0.007609031750007433,82.14285714285714,7.142857142857139,109.30232491731215,0.0,0.0,12
E2_medium,length,length_alpha1.2,30,8849.123591778487,401.2489856344673,8713.171549992505,386.1670828106289,108.38933297384153,76.62219000818772,0.431759532000342,0.01142117524977948,78.57142857142857,7.142857142857139,108.38933297384153,0.0,0.0,13
E2_medium,street_time,street_time_alpha0.8,30,830.9479758256568,41.90091934614895,730.5035202280592,28.5058079322838,102.3933794110273,30.852911684567246,0.3959652244993776,0.008706212499419053,85.71428571428571,7.142857142857139,102.3933794110273,0.0,0.0,1
E2_medium,street_time,street_time_ants40,30,841.4015055362844,56.89406096681341,744.895857247423,37.31036158784559,99.89749060408994,30.548961967239336,0.5228985255002954,0.019454975500821092,85.71428571428571,5.357142857142847,99.89749060408994,0.0,0.0,2
E2_medium,street_time,street_time_beta2.5,30,854.0483546240192,56.28158559440783,751.3963690155078,48.09322885702477,99.19045474878811,43.21203094247177,0.3988295355002265,0.016249671999730764,89.28571428571428,7.142857142857153,99.19045474878811,0.0,0.0,3
E2_medium,street_time,street_time_rho0.7,30,858.6926140466635,35.778601473238496,746.4445573763518,34.939157860972045,108.91867879672392,25.763151101599703,0.39737042400020073,0.011250699999663993,85.71428571428571,7.142857142857153,108.91867879672392,0.0,0.0,4
E2_medium,street_time,street_time_iters120,30,864.8242715118621,68.2325046529802,757.9157872709577,70.78986383012511,106.40034196601106,38.66646725919348,0.5875079639999967,0.016602142749206905,85.71428571428571,12.5,106.40034196601106,0.0,0.0,5
E2_medium,street_time,street_time_rho0.3,30,866.3683427955793,51.2782534843941,757.9277733773763,40.534182197349764,106.80254529300043,39.14507404509828,0.40158146499970826,0.017123991500739122,85.71428571428571,14.285714285714292,106.80254529300043,0.0,0.0,6
E2_medium,street_time,street_time_gamma1.3,30,868.1150605523942,52.63426610786178,758.14272272857,50.02307829820211,98.16230291737898,26.625568430872292,0.39847881799960305,0.015444744750311601,85.71428571428571,7.142857142857153,98.16230291737898,0.0,0.0,7
E2_medium,street_time,street_time_gamma0.7,30,869.3120947325974,53.069548101660416,741.6245024656876,63.600370495532275,117.99564779685917,45.28361732675624,0.39936666750008953,0.012002675500525584,85.71428571428571,7.142857142857153,117.99564779685917,0.0,0.0,8
E2_medium,street_time,street_time_base,30,876.1557275936332,64.18714707494723,770.5900236860173,53.41210965884875,104.20187662979276,28.141578771895922,0.3981765755002016,0.01212038624976236,85.71428571428571,7.142857142857153,104.20187662979276,0.0,0.0,9
E2_medium,street_time,street_time_beta1.5,30,881.604750274521,48.56749454237547,767.8459946259832,39.46305824316403,107.24887214832083,26.1549361422109,0.3963539880001008,0.013611329750119694,85.71428571428571,5.357142857142861,107.24887214832083,0.0,0.0,10
E2_medium,street_time,street_time_ants20,30,885.9495276325222,48.20530572978066,759.7075047889882,42.40369739670655,110.5621207683262,56.03782987378112,0.2716771524997057,0.008234690250219556,85.71428571428571,10.714285714285708,110.5621207683262,0.0,0.0,11
E2_medium,street_time,street_time_iters50,30,896.7005196263722,91.26058907468655,795.2432134927058,63.213646266586125,99.29154352634467,33.16260999597195,0.2540061949998744,0.008942675249954873,85.71428571428571,14.285714285714292,99.29154352634467,0.0,0.0,12
E2_medium,street_time,street_time_alpha1.2,30,908.3979934313754,59.6691251844411,791.5253707474429,64.84827782364187,109.463063714698,30.338222806223428,0.3991032690000793,0.007679315500126849,85.71428571428571,7.142857142857153,109.463063714698,0.0,0.0,13
